,year,schoolId,schoolName,subject,tested,percentPassing,zipcode,district,foodInsecurityPercent,medianHouseValue,computerAccessPercentage
133,2024,81141,Brunson-Lee Elementary School,English Language Arts,194,10.0,85008,4,14.1,323600.0,95.95
134,2024,81141,Brunson-Lee Elementary School,Mathematics,196,18.0,85008,1,12.6,323600.0,95.95
135,2024,81141,Brunson-Lee Elementary School,Mathematics,196,18.0,85008,3,17.8,323600.0,95.95
136,2024,81141,Brunson-Lee Elementary School,Mathematics,196,18.0,85008,4,14.1,323600.0,95.95
137,2024,79507,Imagine Bell Canyon,English Language Arts,159,30.0,85053,8,12.8,329500.0,95.51
138,2024,79507,Imagine Bell Canyon,Mathematics,159,13.0,85053,8,12.8,329500.0,95.51
139,2024,78803,Benchmark School,English Language Arts,196,72.0,85032,1,12.6,387900.0,96.03
140,2024,78803,Benchmark School,Mathematics,196,59.0,85032,1,12.6,387900.0,96.03
141,2024,92498,CASA Academy,English Language Arts,184,23.0,85015,1,12.6,312600.0,94.07
142,2024,92498,CASA Academy,English Language Arts,184,23.0,85015,3,17.8,312600.0,94.07
143,2024,92498,CASA Academy,English Language Arts,184,23.0,85015,8,12.8,312600.0,94.07
144,2024,92498,CASA Academy,Mathematics,186,15.0,85015,1,12.6,312600.0,94.07
145,2024,92498,CASA Academy,Mathematics,186,15.0,85015,3,17.8,312600.0,94.07
146,2024,92498,CASA Academy,Mathematics,186,15.0,85015,8,12.8,312600.0,94.07
147,2024,5398,Cartwright School,English Language Arts,478,9.0,85035,3,17.8,244300.0,95.77
148,2024,5398,Cartwright School,Mathematics,497,5.0,85035,3,17.8,244300.0,95.77
149,2024,5399,Glenn L. Downs Social Sciences Academy,English Language Arts,462,23.0,85031,3,17.8,240300.0,93.95
150,2024,5399,Glenn L. Downs Social Sciences Academy,Mathematics,466,15.0,85031,3,17.8,240300.0,93.95
151,2024,5400,John F. Long,English Language Arts,370,31.0,85031,3,17.8,240300.0,93.95
152,2024,5400,John F. Long,Mathematics,373,30.0,85031,3,17.8,240300.0,93.95
153,2024,5401,Justine Spitalny STE3AM School,English Language Arts,427,15.0,85031,3,17.8,240300.0,93.95
154,2024,5401,Justine Spitalny STE3AM School,Mathematics,432,10.0,85031,3,17.8,240300.0,93.95
155,2024,5402,Holiday Park School,English Language Arts,343,22.0,85033,3,17.8,245900.0,96.74
156,2024,5402,Holiday Park School,Mathematics,344,21.0,85033,3,17.8,245900.0,96.74
157,2024,5403,Sunset School,English Language Arts,442,31.0,85033,3,17.8,245900.0,96.74
158,2024,5403,Sunset School,Mathematics,443,41.0,85033,3,17.8,245900.0,96.74
159,2024,5404,Starlight Park College Preparatory and Community School,English Language Arts,418,20.0,85033,3,17.8,245900.0,96.74
160,2024,5404,Starlight Park College Preparatory and Community School,Mathematics,425,19.0,85033,3,17.8,245900.0,96.74
161,2024,5405,Charles W. Harris School,English Language Arts,609,21.0,85035,3,17.8,244300.0,95.77
162,2024,5405,Charles W. Harris School,Mathematics,611,18.0,85035,3,17.8,244300.0,95.77
163,2024,5406,Desert Sands Academy of Mass Communication & Journalism ,English Language Arts,499,12.0,85033,3,17.8,245900.0,96.74
164,2024,5406,Desert Sands Academy of Mass Communication & Journalism ,Mathematics,513,8.0,85033,3,17.8,245900.0,96.74
165,2024,5407,Frank Borman School,English Language Arts,702,20.0,85031,3,17.8,240300.0,93.95
166,2024,5407,Frank Borman School,Mathematics,712,11.0,85031,3,17.8,240300.0,93.95
167,2024,5409,Heatherbrae School,English Language Arts,355,21.0,85033,3,17.8,245900.0,96.74
168,2024,5409,Heatherbrae School,Mathematics,361,17.0,85033,3,17.8,245900.0,96.74
169,2024,5411,Estrella Middle School,English Language Arts,665,19.0,85033,3,17.8,245900.0,96.74
170,2024,5411,Estrella Middle School,Mathematics,669,8.0,85033,3,17.8,245900.0,96.74
171,2024,5412,Palm Lane,English Language Arts,382,24.0,85035,3,17.8,244300.0,95.77
172,2024,5412,Palm Lane,Mathematics,386,12.0,85035,3,17.8,244300.0,95.77
173,2024,5413,Peralta School,English Language Arts,475,17.0,85035,3,17.8,244300.0,95.77
174,2024,5413,Peralta School,Mathematics,478,15.0,85035,3,17.8,244300.0,95.77
175,2024,5415,Tomahawk School,English Language Arts,469,26.0,85033,3,17.8,245900.0,96.74
176,2024,5415,Tomahawk School,Mathematics,472,14.0,85033,3,17.8,245900.0,96.74
177,2024,6032,G. Frank Davidson,English Language Arts,421,12.0,85033,3,17.8,245900.0,96.74
178,2024,6032,G. Frank Davidson,Mathematics,429,7.0,85033,3,17.8,245900.0,96.74
179,2024,78980,Marc T. Atkinson Middle School & Gifted Academy,English Language Arts,193,58.0,85031,3,17.8,240300.0,93.95
180,2024,78980,Marc T. Atkinson Middle School & Gifted Academy,Mathematics,193,50.0,85031,3,17.8,240300.0,93.95
181,2024,79283,Bret R. Tarver Leadership Academy,English Language Arts,331,23.0,85031,3,17.8,240300.0,93.95
182,2024,79283,Bret R. Tarver Leadership Academy,Mathematics,332,18.0,85031,3,17.8,240300.0,93.95
183,2024,81109,Manuel Pena Jr. School,English Language Arts,437,24.0,85035,3,17.8,244300.0,95.77
184,2024,81109,Manuel Pena Jr. School,Mathematics,441,18.0,85035,3,17.8,244300.0,95.77
185,2024,89955,Raúl H. Castro Middle School: Academy of Fine Arts,English Language Arts,552,19.0,85035,3,17.8,244300.0,95.77
186,2024,89955,Raúl H. Castro Middle School: Academy of Fine Arts,Mathematics,555,5.0,85035,3,17.8,244300.0,95.77
187,2024,78911,Sonoran Trails Middle School,English Language Arts,622,55.0,85085,8,12.8,589000.0,98.13
188,2024,78911,Sonoran Trails Middle School,Mathematics,622,45.0,85085,8,12.8,589000.0,98.13
189,2024,87477,Horseshoe Trails Elementary School,English Language Arts,255,71.0,85085,8,12.8,589000.0,98.13
190,2024,87477,Horseshoe Trails Elementary School,Mathematics,255,66.0,85085,8,12.8,589000.0,98.13
191,2024,90139,Adams Traditional Academy,English Language Arts,305,67.0,85027,1,12.6,316100.0,95.3
192,2024,90139,Adams Traditional Academy,English Language Arts,305,67.0,85027,8,12.8,316100.0,95.3
193,2024,90139,Adams Traditional Academy,Mathematics,306,68.0,85027,1,12.6,316100.0,95.3
194,2024,90139,Adams Traditional Academy,Mathematics,306,68.0,85027,8,12.8,316100.0,95.3
195,2024,10801,Westland School,English Language Arts,107,24.0,85033,3,17.8,245900.0,96.74
196,2024,79989,Imagine Cortez Park Middle,English Language Arts,228,28.0,85051,3,17.8,288300.0,94.66
197,2024,79989,Imagine Cortez Park Middle,English Language Arts,228,28.0,85051,8,12.8,288300.0,94.66
198,2024,79989,Imagine Cortez Park Middle,Mathematics,252,10.0,85051,3,17.8,288300.0,94.66
199,2024,79989,Imagine Cortez Park Middle,Mathematics,252,10.0,85051,8,12.8,288300.0,94.66
200,2024,5283,The Creighton Academy,English Language Arts,252,19.0,85008,1,12.6,323600.0,95.95
201,2024,5283,The Creighton Academy,English Language Arts,252,19.0,85008,3,17.8,323600.0,95.95
202,2024,5283,The Creighton Academy,English Language Arts,252,19.0,85008,4,14.1,323600.0,95.95
203,2024,5283,The Creighton Academy,Mathematics,260,7.0,85008,1,12.6,323600.0,95.95
204,2024,5283,The Creighton Academy,Mathematics,260,7.0,85008,3,17.8,323600.0,95.95
205,2024,5283,The Creighton Academy,Mathematics,260,7.0,85008,4,14.1,323600.0,95.95
